name,lat,long,vicinity,rating,Mobile Number
SRI ANUHOSPITALS Pvt  Ltd,16.511697,80.637546,2-28/1-13  KOVDAMUDIVARI STREET  SURYARAO PETA VIJAYAWADA 2VIJAYAWADA,4.8,9848723111
LIFE LINE TRIMURTY HOSPITAL,16.510982,80.635089,"29-19-80, DORNAKAL ROAD, SURYARAOPETVIJAYAWADA (URBAN)VIJAYAWADA",4.0,9490608122
MARTHA HEALTH CARE SERVICE PRIVATE LIMITED,17.11342,80.61468,"16-99-3,ASHOK NAGAR,TIRUVURU",3.8,6379746841
SUNRISE HOSPITALS,16.512836,80.639262,33-25-35,3.4,8333815869
KAMINENI HOSPITAL,16.495715,80.703151,1951-01-01 00:00:00,4.9,9705455006
PRAVEEN CARDIAC CENTRE,16.507801,80.642757,32-9-18,3.0,9966753790
VIJAY ORTHOPEDIC AND ACCIDENT CARE,16.512317,80.631409,2007-05-29 00:00:00,4.6,8297279494
VIJAYA SUPER SPECIALITY HOSPITAL,16.513608,80.63732,29-26-92A,4.3,7893567731
ANDHRAHOSPITALSVIJAYAWADAPVTLTD,16.511026,80.629711,29-14-64,3.9,9618159100
ANDHRA HOSPITALS MACHILIPATNAM A UNIT OF VISWADEEP MEDICAL SERVICES PVT LTD,16.17621,81.125215,4/124-125,4.2,8466996281
SRI SWARUPA SUPER SPECIALITY HOSPITAL,16.50985,80.63725,29-13-44,3.9,9849977103
NEPHROPLUS (GGH VIJAYAWADA),16.51687,80.66971,"MEDICINE BLOCK,1ST FLORR, NH 16 SERVICE ROAD, NEAR MEDICAL COLLEGE, BESIDE NTR HEALTH UNIVERSITY, GUNADALA, VIJAYAWADA 520008",3.7,9490113613
CHAITANYA HOSPITAL,16.50425,80.64768,40-5-19/4TIKKLE ROAD,2.6,9440097687
CAPITAL HOSPITALS,16.47776,80.70162,1-177/1,2.6,9505289289
Lakshmi sandhya Healthcare Pvt Ltd,16.51634,80.6111,29-13-90,3.4,9848185960
MS SANKARANETRACHIKITSALAYA,16.50013,80.65593,59-14-1/2,2.6,9963049045
K V SHINE HOSPITALS PRIVATE LIMITED,16.51013,80.63732,33-18-2,3.2,8297037278
INDOBRITISH HOSPITAL,16.51801,80.67011,54-15-4/4A,3.6,7036837324
HYDERABAD EYE INSTITUTE,16.4708,80.70064,2004-03-01 00:00:00,4.0,9390513748
ANU INSTITUTE OF NUERO AND CARDIAC SCIENCE A UNIT OF SRI ANU HOSPITALS Pvt Ltd,16.51963,80.69455,3-20/14,4.4,9491736201
ROOPA ORTHOPAEDIC AND MULTI SPECIALITY HOSPITAL,16.49257,80.6656,73-5-2,3.4,9640374640
BEST HOSPITAL,16.52058,80.6918,6-119/1,2.8,9866053184
BMR HOSPITALS,16.51177,80.63866,33-25-33B/1BS RAO STREET,4.3,8008449922
DR TVS CLINIC,16.51613,80.62321,14-14-30,3.1,9858965202
SMILE MULTISPECIALTY HOSPITALS,16.54018,80.6398,43-113-12,4.9,9494490681
NIMRA INSTITUTE OF MEDICAL SCIENCES AND RESEARCH CENTER,16.60616,80.50373,1990-04-01 00:00:00,3.4,9652484710
TAMMA VINOD REDDYS SRUTHII HOSPITALS,16.33112,80.96808,32/85,4.5,9959156365
Vijaya Hospital - Kurnool,15.802933,78.047446,KURNOOL,3.9,9347572606
RR.HOSPITAL,15.828804,78.036294,40-304-10,3.9,9493371487
"OMNI Hospitals, a unit of Ms. Incor Padmachandra Hospitls Pvt. Ltd",15.823548,78.04136,Kurnool,3.4,7794032604
OMEGA HOSPITALS A UNIT OF KURNOOL INSTITUTE OF ONCOLOGY PVT LTD,15.795576,78.063667,PLOT178/173,3.0,8977991958
DEEPAK TEJA HOSPITAL,15.836126,78.036879,40-582-1-A-3,4.0,9440079623
Shantiram Medical College  General Hospital,15.492521,78.417448,"NH-18,NandyalKurnool",4.6,9381462385
Aayushman Hospital,15.837096,78.026101,"45/142A1, Venkata Ramana Colony",4.5,9505353280
Gowri Gopal Hospital,15.824548,78.041079,"HANDRI RIVER,KURNOOL",4.9,9494222491
G V R Children Hospital,15.83571,78.04224,"43/48 2nd Lane, Kurnool.",4.8,8106314375
Viswabharathi General Hospital,15.742863,77.880278,"SURVEY NO.630,R.T NAGAR, PENCHIKALAPADU(V), NEAR:K.NAGALAPURAM(P), BELLARY ROAD, KURNOOL- 518463",2.5,8333814410
Swami super speciality Netralayam,15.485404,78.479564,25/300H2,2.6,9949220150
MEDICOVER HOSPITALS A UNIT OF SAHRUDAYA HEALTH CARE PRIVATE LIMITED KURNOOL,15.825083,78.030954,51-1E/2SYNO419/B2,3.5,9985277669
NOBLE MULTI SPECIALITY HOSPITAL,15.838145,78.041094,43/194-2A,4.2,9032567457
MADHUMANI NURSING HOME,15.486368,78.488909,2-444C,3.8,9642333360
SUNRISE ORTHO AND MULTISPECIALITY HOSPITALS,15.798,78.05268,87/1349,5.0,9494221207
NAMRATHA HOSPITAL,15.81764,78.04272,51/916B86C,3.6,9441688916
VASAVI APEX HOSPITAL,15.812332,78.039671,50-760A-116,4.4,7416326130
KURNOOL RAINBOW HOSPITALS,15.812795,78.055743,69/213-K-9,4.8,9581206783
SREE ASHWINI HOSPITALS,15.81764,78.04272,50-760-A-85-4,3.1,9100356541
SREE SAI MULTISPECIALITY HOSPITAL,15.46289,78.48289,21-125/A1-1,3.5,9294005172
Seven Hills Super Speciality Hospital,15.486177,78.4877451,2-429,4.3,9133210011
NEPHROPLUS (GGH KURNOOL),15.837373,78.030729,"SUPER SPECIALITY BLOCK,1ST FLOOR, BUDHWARPET ROAD, KURNOOL.518002",3.0,9849243607
MADHU CHILDREN HOSPITAL,15.485336,78.489548,2/428/124/B14,3.1,9849161665
SAI VANI HOSPITALS,15.485896,78.476331,25/394-D5,5.0,7799044345
RENUKA MULTISPECIALITY  HOSPITAL,15.835242,78.042394,43/10,3.3,9441881799
K G N MULTI SPECIALITY HOSPITAL,15.82792,78.045776,39-7-A-1-31-1,4.9,9346348654
K V R HOSPITAL,15.487873,78.479536,25-29,4.6,9985325358
SAIRAM NURSING HOME,15.764742,77.474878,2165-01-01 00:00:00,4.9,9440208628
NAMRATHA HOSPITAL,15.826821,78.027448,"D.No:51/916-B-86-C,SVR COMPLEX",4.0,9059592519
SRI SAI SATYA HOSPITAL,15.814464,78.044906,46-1-SS-1,4.3,9908209898
BALAJI HOSPITAL,15.835204,78.04224,"43/19, N.R PET, KURNOOL",2.9,8978133398
VISWABHARATHI HOSPITAL,15.743906,77.881216,"50-760-A-4, GAYATHRI ESTATE, KURNOOL",3.9,8801608636
SAI MEGHA MULTISPECIALITY HOSPITAL,15.801312,78.04848,87/1243-1,3.8,9492844604
SRI CHAKRA HOSPITAL,15.819765,78.041752,46/735BUDHAWARAPETAKURNOOL,3.5,9849333781
VYSHNAVI HOSPITAL,15.4,77.861,7-449-5-1,2.9,7893606542
NARMADA HOSPITAL,15.4777,78.4873,21/125-15-3,4.4,9849790731
ASWINI HOSPITALS,15.813841,78.037665,"1-55-1-18-1,GOUD CENTRE, K.G.R",2.6,9014429988
SRI VIJAYA DURGA CARDIAC CENTRE,15.81223703,78.03998102,50-760-A-114,4.5,9502270007
SANJEEVANI HEALTH CARE,15.843957,78.025678,"201/2A2,MAMIDALAPADU,KURNOOL",2.6,9440205434
SUSEELANETRALAYAANDMATERNITYHOSPITAL,15.824098,78.040792,"46-89-11,LAKSHMINAGAR,KURNOOL,Andhra Pradesh.",3.4,8886288002
SRI HARSHA HOSPITAL,15.804083,78.045751,25/415-A5,4.3,9550219090
SHRI VIJAYA DURGA ORTHOPAEDIC CENTRE,15.819649,78.041661,46-728CBUDHAWAR PETA,4.9,9848024663
AMMA HOSPITAL,15.801054,78.047092,87/654-1A,2.8,8297520430
GNR HOSPITALS,15.81269,78.037755,50/760/A7,3.3,7337225255
KURNOOL HEART AND MULTI SPECIALITY HOSPITAL,15.814543,78.044241,46-1-1-K-B4,5.0,9441094412
RAINBOW INSTITUTE OF CHILD HEALTH AND MATERNITY HOSPITAL,15.813249,78.056442,43/195-1,3.9,9392291220
SGR HOSPITALS,15.832203,78.038579,40-447-18,3.6,9490197955
AMEELIO HOSPITAL A UNIT OF SURAKSHITHA HEALTHCARE PVT LTD,15.824183,78.014807,51/15-A-H-1,4.4,8790435376
K M HOSPITALS,15.827349,78.047584,1994-11-01 00:00:00,3.6,7981474253
SUKHEEBHAVA HOSPITAL,15.809932,78.022828,77/142-1,3.8,8897170428
V R MULTI SPECIALITY HOSPITAL,15.839529,78.062261,44-166-167,4.6,8790620425
SUNRISE MULTISPECIALITY HOSPITAL,15.485829,78.489746,25/700-1,4.3,9989448520
VIJAY CARE HOSPITAL,15.806085,78.038546,1-B-CAMP,2.9,9849013222
CNHOSPITAL,15.804617,78.038825,87/617-5,3.6,9492844604
JAYA SPECIALITY HOSPITAL,15.48361,78.473231,25/415/A5-7,3.5,7730066000
AGRASENI HOSPITAL,15.814883,78.042184,46-1-BKST-504,4.0,9966845590
SRI GAYATHRI HOSPITAL,15.824545,78.030143,51/6,4.2,8074991984
KVS MOTHER and CHILD HOSPITAL,15.398196,77.875017,1982-09-01 00:00:00,3.3,9533119936
VIJAYA CARE MULTISPECIALITY HOSPITAL AND INFERTILITY CENTRE,14.452153,79.987823,16-2-477,4.7,9440267233
Ircs Cancer Hospital Indian Red Cross Society Cancer Hospital,14.426778,79.959006,Nellore,3.2,9502905094
Jayabharat Hospital,14.445059,79.983323,"16/2884,SOMASHEKARAPURAM,NELLORE",4.8,9704669053
Ravi Institute Of Child Health Pvt Ltd Rich Hospitals Nellore,14.449953,79.985104,"16-II/131, KASTURIDEVINAGAR, POGATHOTA, NELLORE",2.9,8333814430
Vijaya Krishna Hospitals PLtd.Vijaya Hospital,14.449031,79.983156,NELLORE,3.5,9701378050
Anasuya Institute Of Medical Sciences,14.449191,79.984812,NELLORE,3.2,9440232639
Aravind Kidney Center,14.455808,79.987448,"15/402, BRINDAVANAMNELLORE",3.8,8125919309
Kandukuri Hospital,14.916815,79.995173,Nellore,4.8,9502414797
St.Josephs General Hospital,14.457675,79.983006,"SANTHAPET ,NELLORE",5.0,8333814443
Krishna Institute of Medical Sciences Bollineni Hospital Nellore,14.434504,79.96827,"DARGAMITTA,NELLORE",3.3,8985841265
SRI VENKATESWARA PRAJA VYDYASALA,17.775142,83.244926,1991-02-01 00:00:00,5.0,9440573770
Narayana Medical College Hospital,14.425973,80.013642,"CHINTAREDDYPALEM,NELLORE.",4.1,8333814452
DR PRAVEEN HOSPITAL,14.9117733,79.9883685,10-22-6,4.9,8332811471
MYDHILI HOSPITAL,14.094397,79.884839,14/20,3.0,9966277111
C R Reddy Hospital,14.041884,79.831181,13-264,2.6,9059688325
VIJETHA EYE HOSPITAL,14.4540722,79.9849919,15/274,3.3,8686506940
Modern Eye Hospital and Research Centre,14.449093,79.985187,16-II-99,3.4,9052455599
NEPHROPLUS (DSR -NELLORE),14.32504,79.92323,"Government Genral Hospital,ACR medical college,Nellore",3.6,8185860166
AMARAVATHI HOSPITALS,14.155244,79.926658,14/267,3.1,8686585936
RAINBOW SUPER SPECIALITY HOSPITAL,14.45205,79.985889,"16-2-686, GANDHINAGAR, NELLORE",4.2,9989999540
DR HR SMART VISION EYE HOSPITAL,14.4495753,79.981812,16/2/109,3.6,9701363507
Anvesh Mother and Child Hospital,14.1458203,79.851658,6-165-1,3.3,9550491351
TRINITY HOSPITAL,13.9023747,79.9040057,"1-151,SRI RAM NAGAR,NAIDUPET",3.8,9392116350
ABHIRAM INSTITUTE OF MEDICAL SCIENCES,14.6256,79.622753,2/145,4.3,8333814879
"Medicover Hospitals A Unit of Abhayanjaneya Health Care Private Limited, Nellore",14.436504,79.999432,NH-5,3.9,8008104108
LOTUS HOSPITAL,14.448613,79.984412,1951-02-16 00:00:00,3.0,8297391033
NIZAMS LITTLE STAR CHILDREN HOSPITAL,14.443859,79.978978,23/1045,4.2,9490477982
Dr G Vijayakumar Memorial Nellore Hospital,14.442876,79.980287,16/1/715/D,3.7,8985261921
SRI SAI MULTISPECIALITY HOSPITAL,14.9117733,79.9883685,10-5-20A,2.5,9490230525
MADURAI NETRALAYA,14.4504119,79.9828324,164284/1KASTURIDEVINAGARPOGATHOTA,4.2,8985966872
MADURAI NETRALAYA,14.4504119,79.9828324,164284/1KASTURIDEVINAGARPOGATHOTA,2.7,9866194213
Venkataramana Nursing Home,17.727953,83.303026,ONGOLE,4.3,7702497606
PRAKASAM SUPER SPECIALITY HOSPITAL,15.511866,80.040459,37-169/49,3.9,8886749460
pandu children and multi speciality hospital,15.511574,80.040618,37-1-169/33a,2.5,9494654370
aluri multispeclality hospital,15.511366,80.042075,7-1-169-79a,2.6,9440266364
Dr. Kota Reddy Multi Speciality Hospital,15.219021,79.913086,"Ongole,Prakasam",4.1,9985867220
ss medicare multispeciality hospital,15.80371,79.97745,32/273,3.2,6300143811
GORANTLA SUPER SPECIALTY HOSPITAL,15.8261,80.3586,2021-01-01 00:00:00,4.3,9885553474
MUPPA ROSAIAH HOSPITAL,15.13,79.543,1953-01-19 00:00:00,4.6,7075809780
KAKUMANI HOSPITAL,15.4932,80.0496,37-1-5-17,3.9,9866312481
SRI PRASANTHI HOSPITAL AND TESTTUBE BABY CENTRE,15.375666,78.927992,37-1-169/33/B,3.5,9492469897
SRI KAMAKSHI CARE HOSPITAL,15.82891,80.35928,1980-01-09 00:00:00,4.2,9441967583
Ongole Childrens Hospitals,15.51129,80.03688,20-6-130-A,4.9,9350712345
SRIKARTHIKEYA CARDIAC CENTRE,15.51166,80.03597,1983-06-20 00:00:00,4.5,9440714596
SAI NURSING HOME,15.48229,80.04656,1961-07-20 00:00:00,2.5,9581773494
Vaatsalya Hospital,15.482212,80.046652,37-1-413/A,3.4,9849063217
NEPHROPLUS (RIMS-ONGOLE),15.47907,80.04831,"Rims,Bhagyanagar,Ongole,5th lane 523001,Ongole,Prakasham dist",4.8,9573739436
Manne Pardhasaradhi Memorial Hospital,15.51396,80.04241,3-319/2,4.8,9912445041
MODERN EYE HOSPITAL AND RESEARCH CENTRE,15.4937008,80.0381287,7-13-1FIFTH LANE LAWYERPET EXTENTION,4.0,9849799210
CHANDAMAMA CHILDRENS HOSPITAL,15.510703,80.039365,20/7/62(1),2.6,9052928666
AMRUTHA HEART HOSPITAL,15.516874,80.043713,4-46(36-1),3.3,9177773111
HCG Mnr Curie Cancer Centre Health Care Global Enterprises Ltd,15.527015,80.048994,"RS NO:186/1, BESIDES GOVT ITI COLLEGE, Ongole, Prakasam",2.8,9966844503
SAI VEENA CHILDRENS HOSPITAL,15.514994,80.044451,"3-312, 60 FEET ROAD, ONGOLE, Prakasam",3.8,9440265128
KAMALA NURSING HOME,15.512454,80.0465161,"34-1-166-13, kamala nursing ho",3.4,9247171500
DGR HOSPITAL,15.379901,78.935668,8-7-21-21A,3.8,9849722099
SRESHTA CHILDRENS HOSPITAL,15.5150534,80.0440522,SIXTY FEET ROAD,2.6,9491429897
RAVI MOTHER AND CHILDREN HOSPITAL,15.511152,80.03624,"T.S.NO:3/4 ,NIRMAL NAGAR,ANJAIAH ROAD,NEAR AKSHARA SCHOOL,ONGOLE",4.2,9849115523
ANEESH KIDNEY CENTRE,15.51149,80.03886,"20-7-68,POWER OFFICE ROAD LAMBADI Donka ,Ongole,Prakasam district",4.6,9177690385
SANGHAMITRA HOSPITALS PVT LTD,15.479076,80.048275,58/2B,4.4,9550006366
"Krishna Institute of Medical Scinces Ltd., Ongole.",15.534123,80.05475,153/3A,3.1,8886642056
SURAKSHA HOSPITAL,15.824049,80.361428,62-2-58,4.0,9248388599
PRASAD MULTI SPECIALITY HOSPITAL,15.497097,80.048688,37-1-382-6,4.7,9866408555
ANJANI SUPER SPECIALITY HOSPITAL,15.514169,80.043906,3-3/304,3.6,9652668591
Janatha institute of medical sciences,15.50339,80.04249,5-1/1-1/A,4.6,9985494786
SAI SINDHURA INSTITUTE OF MEDICAL SCIENCES,15.73245,79.26728,1-192,2.8,9493591517
SHRI KANDULA OBULA REDDY HOSPITAL,15.73831,79.27032,4-255,2.5,9705362611
AmmaChildrensHospital,15.51214,80.03928,37-1-169,4.4,9963418533
SKR ICON SUPER SPECIALITY HOSPITAL,15.82729,80.35732,9-1-98/2,4.7,9966664131
VASUDHAKALYAN MULTI SPECIALTY HOSPITAL,15.51175,80.0395,20-7-55-1,3.9,9849049046
M S Baggu Sarojini Devi Hospital,18.309195,83.897363,"2-2-131,ILLISIPURAM WEST,SRIKAKULAM,A.P.-532001",3.1,9701369913
Sindhura Hospitals,18.306715,83.893053,"NEW BRIDGE ROAD, DAY & NIGHT JUNCTION, SRIKAKULAM",4.2,9701548484
NEPHROPLUS (RIMS SRIKAKULAM),18.31354,83.88591,"RIMS GOVERNAMENT GENRAL HOSPITAL,BALAGA,SRIKAKAULAM 532001",5.0,9985823984
KIMS SAI SESHDRI HOSPITAL,18.304591,83.881838,137,4.5,9848163689
GMR Varalakshmi CARE Hospital,18.460122,83.661489,201/1/2/3/4/5/6,4.8,9666009884
GEMS HOSPITAL ADITYAEDUCATION SOCIETY,18.3515735,83.90259006,3-325,3.0,9391489207
DR GOLIVI HOSPITAL PVT LTD,18.313598,83.895432,G-5,5.0,9440584162
P V S RAMA MOHANA RAO HOSPITAL,18.35434,83.75832,1942-01-01 00:00:00,4.1,8555881018
AMRUTHA HOSPITAL,18.44853,83.66858,6-615,4.1,9642143246
Lions District 324 C1 Cancer Treatment And Research Center,17.744435,83.308349,VISHAKAPATNAM,3.4,8333814507
Vasugan Medical Specialities Pvt Ltd Indus Hospital-Vizag,17.710763,83.302664,VISHAKAPATNAM,3.5,7780169437
Nri General Hospital,17.921612,83.426289,"plot no 45,SANGIVALASA, BHEEMUNIPATNAM MANDALAM-PIN - 531162 Visakhapatnam",3.9,9393111064
Sree Sivani Multi Speciality Hospital and Research Institute Private Limited,17.707347,83.309442,"2 ND,LEFT LANE,COLLECTRATE OFFICE, BEACH ROAD, VIZAG-02",2.6,9848191332
"LG Hospital,Vishakhapatnam",17.709537,83.305722,2017-01-17 00:00:00,4.7,9989747704
STAR PINNACLE HEART CENTRE PVT LTD,17.763256,83.307871,2012-11-10 00:00:00,4.7,9573888003
HCG Pinnacle Cancer Centre,17.763757,83.308289,2012-11-10 00:00:00,4.1,9000948949
SMILECARE MULTISPECIALITY DURGA HOSPITAL,17.735985,83.271491,39-91108,5.0,9505639999
VISAKHA HOSPITALS AND DIAGNOSTICS LTD CARE HOSPITAL III,17.710109,83.304337,43-9-201,3.8,8143551943
RAGHAVENDRA HOSPITAL,17.686848,83.218497,49-54-10/A,3.9,9247980430
Shankar Foundation And Eye Institute,17.765801,83.220502,Visakhapatnam,3.1,8333814521
KIMS ICON HOSPITAL(A Unit of ICON Krishi Institute of medical Sciences(P)Ltd),17.714422,83.195697,32-11-2,2.9,9866396969
Care Hospital,17.727636,83.294048,"MAIN  ROAD, VIZAG",3.6,9440192217
Surya Sri Hospital Private Ltd.,17.708149,83.309822,"KRISHNA NAGAR,VIZAG",3.7,9949726259
Ms Mahatma Gandhi Cancer Hospital and Research Institute,17.743561,83.335603,"1/7  M.V.P.COLONY,VIZAG",4.8,8790962357
Apollo Hospitals Enterprises Ltd - Vizag,17.717087,83.309211,"SIRIPURAM MAIN ROAD,VIZAG",2.9,9000074964
Annapoorna Hopsital,17.727421,83.304804,"47-9-32, 3rd Lane, Dwarakanagar,VISAKHAPATNAM",2.7,9849555875
Sagara Durga Hospital,17.70865,83.310973,"15 - 13 - 6, KRISHNA NAGAR, MAHARANI PETA , Visakhapatnam",3.5,9848343245
Pradhama Multi Speciality Hospitals and Reasearch Institute Ltd,17.747936,83.332012,1983-01-01 00:00:00,4.8,9440191344
Q ONE BONE AND JOINT HOSPITAL,17.762412,83.307977,13-A,3.2,9100128279
S R HOSPITAL,17.752995,83.217263,8-271,3.6,9908481651
Dr Demudubabu Kamala Nursing Home,17.740287,83.25079,38-40-101,4.3,9949233428
SKE SUSRUTA INSTITUTE OF MEDICAL SCIENCES PVT LTD,17.764004,83.309054,14-A,4.5,9849125856
Padmaja Hospital,17.686733,83.203583,"OLD GAJUWAKA JUNCTION, VISAKHAPATNAM",3.5,9160673477
Sai Spoorthy Hospital,17.727512,83.303921,"47-9-35, 3rd LANE, DWARAKANAGAR,VISAKHAPATNAM.",2.8,9505905999
OMEGA HOSPITALS A UNIT OF VIZAG SPECIALITY HOSPITALS,17.763545,83.312278,"PLOT NO 4, HEALTHCITY ARILOVA",2.5,9971979623
MyCure HospitalsA Unit of Sahrudaya Helath Care Private Limited,17.712295,83.314118,DOOR NO 15-2-9,2.8,9902089933
ABC HOSPITALS,17.706194,83.309211,"16-1-13, KGH BEACH DOWN, MANARANIPETA, OPP COSTAL BATTERY, Vizag 530002",4.5,9348442525
GAJUWAKA HOSPITALS PVT LTD RK HOSPITAL,17.682535,83.196979,26-16-7,4.3,9866117777
ADITYA MULTI CARE HOSPITAL,17.709989,83.304622,1933-01-18 00:00:00,2.7,8801145689
SURAKSHA HEALTH PARK PRIVATE LIMITED,17.73951,83.255457,38-40-42/2,4.3,9866247304
OMNI RK HOSPITAL A Unit of INCOR Hospitals Vizag PVT LTD,17.71874,83.311488,10-50-55,2.7,9490899640
SRADDHA HOSPITAL,17.708249,83.308516,14/37/45,3.1,7382465005
GITAM Institute of Medical Sciences and Research,17.784753,83.375013,5-168,3.2,9676190799
VENKATARAMA HOSPITAL,17.727952,83.303028,47-7-43,3.0,9877099945
USHA PRIME MULTI SPECIALITY HOSPITAL A DIVISION OF CHILUKURI HEALTHCARE PVT LTD,17.687616,83.001766,12-4-6/1,4.7,7396916666
MyCure HospitalsA Unit of Sahrudaya Helath Care Private Limited,17.711063,83.302402,VISAKHAPATNAM,3.8,9701957666
ANBEACH HOSPITAL,17.707979,83.312253,15-9-13/24,4.6,9666447777
NEPHROPLUS (KGH VISHAKAPATNAM),17.706385,83.302559,"SUPER SPECIALITY BLOCK,WARD NO 24, KGH,MAHARANIPETA,VISHAKAPATNAM 530002",2.8,9849293075
VIJETHA HOSPITAL,17.710812,83.303112,2015-01-18 00:00:00,4.2,9676493545
Lakshmi Aarush Health Care Pvt Ltd  Cathlab-Interventional Cordiology Service Provided to Government of AP -KING GEORGE HOSPITAL-VIZG,17.708512,83.305751,"House No :Maharanipeta, Visakhapatnam, Andhra Pradesh, India",4.8,9490669650
RAMSARANYA HOSPITALS PVT LTD UNIT II,17.709863,83.310195,14-37-4/A,3.9,9701484807
MEDICOVER HOSPITALS UNIT III A UNIT OF SAHRUDAYA HEALTH CARE PRIVATE LIMITED,17.763612,83.312117,"SY NO 27, PLOT NO-5, HEALTH CITY CHINAGADILI ARILOVA53040",4.1,9290248484
M B Multispeciality Hospitals,17.763677,83.310723,PlotNo-15Bhealthcity,4.8,9550014636
GJ HOSPITAL AND TRAUMA CENTRE,17.763862,83.31069,"UMA PALACE, HEALTHCITY, ARILOV",2.5,9392127093
Gayatri Vidya Parishad Institute of Health Care and Medical Technology,17.829978,83.361742,2025-06-01 00:00:00,4.7,9618010635
Visakha Eye Hospital,17.73212,83.33211,8-1-64Pedda waltair,3.4,9885116262
ST ANNS JUBILEE MEMORIAL HOSPITAL,17.684277,83.23767,62-2-106,3.8,9177616616
NEPHROPLUS (VIMS VISHAKAPATNAM),17.759204,83.32925,"HANUMATHVAKA,VISHAKAPATNAM 530040",3.7,7893170283
Maharajah Institute Of Medical Sciences,18.110555,83.387338,VIZIANAGARAM,3.2,8333814568
Sri Sai Super Speciality Hospital-Vizianagaram,18.107779,83.401358,"P.S.R.COMPLAX,LOWER TANK BUND ROAD, VIZIANAGARAM,08922221234",3.2,8333814570
VENKATAPADMA HOSPITAL,18.11459,83.413361,"VENKATAPADMA HEALTHCARE COMPLEX, 15-1-45, 3 LAMPS JUNCTION, VIZIANAGARAM - 535002",3.2,8333814576
"Tirumala Multi Speciality Hospitals (India )Pvt. Ltd., Vizianagaram",18.107348,83.400926,NEAR RTC COMPLEXVIZIANAGARAM,3.5,8333814582
KOLAPARTHI HOSPITAL,18.105052,83.137846,"12-144, SRUNGAVARAPUKOTA, BC BOYS HOSTEL ROAD, NEAR TELEPHONE EXCHANGE",3.7,8142340040
Pushpagiri Vittreo Retina Institute,18.10870163,83.410444,"521, Alak Nagar, Aayodya Road, Beside TTD Kalyana Mandapam, Vizianagaram",4.7,8333814586
GAYATRI HOSPITALS,18.11,83.41,"25-10-18, DASANNAPETA ROAD",4.0,7902601026
srinivasanursing home,18.2746,83.3431,Main Road Gajapathinagaram,4.3,9866685439
ANDHRA HOSPITALS,18.108406,83.411623,"20-14-6/A, ANANDAGAJAPATI AUDITORIUM ROAD, VIZIANAGARAM",2.5,8498847527
ABHINAV NIURSING HOME,18.1058,83.1392,SNO466-1,3.9,7680032040
MUVVA GOPALA HOSPITALS PVT LTD,18.111536,83.413726,2010-01-18 00:00:00,4.9,8008161678
VENKATA RAMA HOSPITAL,18.106555,83.397753,8-13-1/B,4.8,9849376758
SRI SAI P V R HOSPITALS,18.10939,83.397979,810139/a,4.7,8365486396
MARUTHI HOSPITAL,18.1671,83.449,22-87,4.7,8919702742
NEPHROPLUS (DH Vizianagaram),18.10939,83.395554,VIZIANAGARAM,4.5,8331094243
VIJAYA HOSPITALS,16.713175,81.099931,23A-6-63/2,4.0,9440186917
PVR HOSPITALS,17.115808,81.296204,1989-02-01 00:00:00,3.7,9849589317
Sudha Hospital  Tanuku,16.757475,81.681311,"21-1-4, OPP COOPERATIVE STORES",4.8,9866244975
Good Samaritan Cancer and General Hospital,16.69669294,81.09437364,"VANGAYAGUDEM, ELURU - 534 001",4.4,8333814605
Mother Vannini Hospital,16.830824,81.510546,"KADAKATALA,TADEPALLIGUDEM",4.2,9985828981
Srisaihospital,16.757103,81.68825,"DNO12-69-5SILVERJUBILEEROAD OPP SNVT JR COLLEGETANUKU,WESTGODAVARI-DIST",3.3,9441639996
Dr G R Reddy Eye Care Center,16.818064,81.522169,1-41-1,4.0,9885816070
PRABHA HOSPITAL,16.715275,81.095351,24B-6-16/1,2.8,9491044838
Jnanananda Ophthalmic Institute,16.54595,81.5193,1934-06-03 00:00:00,2.9,9677669202
CHAITRA HOSPITAL,16.708213,81.105089,24A-4-4,4.7,8143532783
ANDHRA HOSPITALS ELURU PVT LTD,16.711975,81.101037,23A-8-8,3.5,9949561559
SAI SPURTHI MULTISPECIALITY HOSPITAL,17.124106,81.299637,9-2-30/1,3.8,8105646719
SAISWETHA SUPER SPECIALITY HOSPITAL A UNIT OF SAISWETHA HOSPITAL PRIVATE LIMITED,16.751396,81.684127,16-18-2,3.8,7207323860
Sri Lakshmi Hospitals,16.545796,81.519177,3-6-36 TOWNRAILWAY STATION ROADBhimavaram,4.7,9393727725
Varma Hospitals,16.543847,81.510401,"Door. No.:1-7-4/2-1,Near AddavanthenaSuryanarayanapuram, J.P. Road, Bhimavaram. 534 202",4.4,8333814614
APPLE HOSPITAL A UNIT OF TANUKU HOSPITAL,16.754598,81.674509,"21-4-22, NEAR RAILWAY STATION, TANUKU, WESTGODAVARI",3.5,9985035100
CHIRANJEEVI HOSPITALS ORTHO AND MULTI SPEICILITY,17.1176695,81.2880765,NEAR NEW BUS STAND,4.5,9577104108
Alluri Sitarama Raju Academy Of Medical Sciences Asram Hospital,16.736431,81.143526,ELURUWEST GODAVARI DIST,4.1,9701345307
UVSM Eye Hospital,16.542652,81.51098,27-16-5/1,3.6,7729021299
BHUVANESWARI HOSPITAL,16.714484,81.100867,23B/2/12,2.8,9059071238
KASI EYE HOSPITAL,16.542648,81.515078,27-8-12/4,3.5,9908665886
PRANAVI NURSING HOME,16.815661,81.530914,4-17-796,2.6,9440180015
